mcc,category
5499,survival
5331,socialization
5411,survival
5661,survival
4784,socialization
8071,survival
5912,survival
5814,survival
4111,socialization
5812,survival
5621,survival
5999,socialization
5399,socialization
5921,self_realization
5211,survival
7230,self_realization
5944,self_realization
4812,socialization
5462,survival
5931,socialization
5816,self_realization
5200,socialization
5691,survival
7999,self_realization
4814,socialization
5712,survival
5641,self_realization
5651,survival
5992,self_realization
5541,socialization
4121,socialization
5995,self_realization
5039,survival
5192,self_realization
4900,survival
4816,socialization
8099,survival
5699,survival
5977,self_realization
4511,socialization
8999,socialization
7299,socialization
5722,survival
5942,self_realization
5735,self_realization
5732,socialization
7832,self_realization
7841,self_realization
7994,self_realization
5251,survival
5311,socialization
9399,socialization
5945,self_realization
5261,survival
4112,socialization
5441,survival
5941,self_realization
4789,socialization
5815,self_realization
8021,survival
8011,survival
5943,self_realization
5993,self_realization
5813,self_realization
5422,survival
5533,socialization
5193,self_realization
4131,socialization
7922,self_realization
5947,self_realization
8043,survival
5964,socialization
5631,self_realization
7538,socialization
5542,socialization
7997,self_realization
5511,socialization
7512,socialization
5309,survival
7941,self_realization
7298,self_realization
7011,socialization
7995,self_realization
5719,survival
7523,socialization
5968,socialization
7311,socialization
7399,socialization
742,self_realization
7991,self_realization
7542,socialization
5948,socialization
5949,survival
4899,socialization
7221,self_realization
9402,socialization
8398,self_realization
4215,socialization
4722,self_realization
3011,socialization
8220,self_realization
8062,survival
8299,self_realization
5714,survival
5451,survival
